sno,Rooms,Bathrooms,Area,Converted_Area,Dogs_allowed,Cats_allowed
511,2,1.0,0,0.0,not allowed,not allowed
512,1,1.0,0,0.0,not allowed,not allowed
514,1,1.0,539sf,539.0,allowed,allowed
515,1,1.0,790sf,790.0,not allowed,not allowed
516,1,1.0,0,0.0,not allowed,not allowed
517,3,2.0,1500sf,1500.0,not allowed,not allowed
518,4,2.0,1564sf,1564.0,allowed,allowed
519,2,1.0,1760sf,1760.0,not allowed,not allowed
520,2,3.0,0,0.0,not allowed,not allowed
521,3,1.0,1230sf,1230.0,not allowed,not allowed
522,1,1.0,0,0.0,allowed,allowed
524,3,2.0,0,0.0,not allowed,not allowed
525,3,2.0,1200sf,1200.0,not allowed,not allowed
526,3,2.0,0,0.0,not allowed,not allowed
527,1,1.0,0,0.0,not allowed,not allowed
528,3,2.0,0,0.0,allowed,not allowed
529,1,1.0,1614sf,1614.0,not allowed,not allowed
530,1,1.0,0,0.0,not allowed,not allowed
531,2,1.0,0,0.0,not allowed,not allowed
532,3,2.0,1593sf,1593.0,allowed,allowed
533,4,2.0,0,0.0,allowed,allowed
534,1,1.0,0,0.0,not allowed,not allowed
535,1,1.0,650sf,650.0,allowed,allowed
536,2,2.0,1308sf,1308.0,not allowed,not allowed
538,4,2.0,0,0.0,allowed,allowed
539,1,1.0,0,0.0,not allowed,not allowed
540,3,1.0,0,0.0,not allowed,not allowed
541,3,2.0,0,0.0,not allowed,not allowed
542,1,1.0,0,0.0,allowed,allowed
543,3,1.0,1152sf,1152.0,not allowed,not allowed
544,3,4.0,0,0.0,allowed,allowed
545,3,1.0,1400sf,1400.0,allowed,allowed
546,1,1.0,805sf,805.0,not allowed,not allowed
548,2,1.0,0,0.0,allowed,allowed
549,2,1.0,0,0.0,allowed,allowed
550,3,1.0,1163sf,1163.0,not allowed,not allowed
551,1,1.0,0,0.0,not allowed,not allowed
552,3,2.0,1800sf,1800.0,not allowed,not allowed
553,3,1.0,0,0.0,allowed,allowed
554,1,1.0,1200sf,1200.0,allowed,allowed
555,2,1.0,0,0.0,not allowed,not allowed
556,1,1.0,700sf,700.0,not allowed,not allowed
557,1,1.0,0,0.0,not allowed,not allowed
558,2,1.0,0,0.0,not allowed,not allowed
559,2,1.0,0,0.0,allowed,allowed
560,1,1.0,0,0.0,not allowed,not allowed
562,1,1.0,0,0.0,allowed,allowed
563,1,1.0,0,0.0,not allowed,not allowed
564,2,2.0,2200sf,2200.0,not allowed,not allowed
565,1,1.0,1614sf,1614.0,allowed,allowed
566,1,1.0,0,0.0,not allowed,not allowed
567,6,2.0,2573sf,2573.0,allowed,allowed
568,2,1.0,0,0.0,not allowed,not allowed
569,3,1.0,600sf,600.0,not allowed,not allowed
570,3,1.0,0,0.0,not allowed,not allowed
572,2,1.0,0,0.0,not allowed,not allowed
573,3,1.0,1100sf,1100.0,not allowed,not allowed
574,3,2.0,1750sf,1750.0,allowed,allowed
575,2,1.0,0,0.0,not allowed,not allowed
576,1,1.0,2400sf,2400.0,not allowed,not allowed
577,2,1.0,0,0.0,not allowed,not allowed
578,1,1.0,0,0.0,not allowed,not allowed
579,3,1.0,0,0.0,allowed,allowed
580,1,1.0,624sf,624.0,allowed,not allowed
581,2,1.0,0,0.0,not allowed,not allowed
582,3,1.0,0,0.0,not allowed,not allowed
