City,Price,Rooms,Bathrooms,Area,Location,Amenities,Dogs_allowed,Cats_allowed,Deposite
Austin TX,"$2,400",1,1.5,809sf,"1221 Barton Hills Drive, Austin, TX 78704, USA",[],not allowed,not allowed,0
Austin TX,"$5,000",5,4.0,"2,096sf",1703 Deerfield Drive,"['Storage', 'Dishwasher', 'Hardwood Floors']",allowed,allowed,"$5,000"
Austin TX,"$16,500",6,3.0,"2,250sf","Austin, TX","['Air Conditioning', 'Elevator', 'Parking', 'Pool', 'Dishwasher']",allowed,allowed,0
Austin TX,"$2,350",3,2.0,"1,496sf","3334 Clarksburg Drive, Austin, TX 78745, USA",[],not allowed,not allowed,0
Austin TX,"$3,750",2,2.0,"1,089sf","910 Gullett Street, Austin, TX 78702, USA",[],not allowed,not allowed,0
Austin TX,"$4,400",1,2.0,"1,884sf","411 Brazos Street, Austin, TX 78701, USA",[],not allowed,not allowed,0
Austin TX,"$18,960",4,3.0,"3,000sf","Austin, TX","['Air Conditioning', 'Fireplace', 'Parking', 'Dishwasher', 'Garden']",not allowed,not allowed,0
Austin TX,$950,1,1.0,unknown,"9803 Chukar Circle, Austin, TX 78758, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$2,399",3,2.5,"1,795sf","2075 Grow Lane, Austin, TX 78754, USA",[],not allowed,not allowed,0
Austin TX,"$2,250",3,2.0,unknown,"Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$13,500",4,5.0,"5,472sf","5005 Calabria Court, Travis County, TX 78736, USA",[],not allowed,not allowed,0
Austin TX,"$5,250",Studio,1.0,"1,000sf","Austin, TX","['Air Conditioning', 'Parking', 'Pool', 'Garden', 'Wheelchair Accessible']",not allowed,not allowed,0
Austin TX,"$1,200",1,1.0,608sf,"unnamed road, Austin, TX 78731, USA",[],not allowed,not allowed,0
Austin TX,"$2,340",1,1.0,unknown,"Round Rock, TX","['Air Conditioning', 'Balcony', 'Parking', 'Garden']",not allowed,not allowed,0
Austin TX,"$1,125",1,1.0,unknown,"Austin, TX, US",[],allowed,allowed,0
Austin TX,"$1,396",1,1.0,546sf,3233 Harmon Avenue,[],allowed,allowed,0
